Sploosh-o-matic | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/1a/S2_Weapon_Main_Sploosh-o-matic.png/64px-S2_Weapon_Main_Sploosh-o-matic.png | Shooter | Curling Bomb <:curling:451732483688497152> | Splashdown <:splashdown:451734463332876289> | 10 | 9700 | 38 | 0.8 | 170 | 12 | 52 | 75
Forge Splattershot Pro | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/a7/S2_Weapon_Main_Forge_Splattershot_Pro.png/32px-S2_Weapon_Main_Forge_Splattershot_Pro.png | Shooter | Suction Bomb <:suction:451733156656316416> | Bubble Blower <:bubble:451733595829174273> | 20 | 20800 | 42 | 2 | 200 | 70 | 60 | 30
.96 Gal | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/3/39/S2_Weapon_Main_.96_Gal.png/64px-S2_Weapon_Main_.96_Gal.png | Shooter | Sprinkler <:sprinkler:451733051030896661> | Ink Armour <:armour:451733645187743775> | 21 | 12600 | 62 | 2.5 | 190 | 70 | 80 | 10
.96 Gal Deco | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c3/S2_Weapon_Main_.96_Gal_Deco.png/32px-S2_Weapon_Main_.96_Gal_Deco.png | Shooter | Splash Wall <:wall:451732942847213568> | Splashdown <:splashdown:451734463332876289> | 26 | 16200 | 62 | 2.5 | 190 | 70 | 80 | 10
Jet Squelcher | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/9/91/S2_Weapon_Main_Jet_Squelcher.png/64px-S2_Weapon_Main_Jet_Squelcher.png | Shooter | Toxic Mist <:mist:451733194149199873> | Tenta Missiles <:missiles:451734631775993876> | 17 | 11300 | 32 | 1.6 | 180 | 82 | 35 | 30
Custom Jet Squelcher | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/4/4b/S2_Weapon_Main_Custom_Jet_Squelcher.png/32px-S2_Weapon_Main_Custom_Jet_Squelcher.png | Shooter | Burst Bomb <:burst:451732329153691648> | Sting Ray <:stingray:451734582258171904> | 27 | 15900 | 32 | 1.6 | 180 | 82 | 35 | 30
Luna Blaster | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/6d/S2_Weapon_Main_Luna_Blaster.png/64px-S2_Weapon_Main_Luna_Blaster.png | Blaster | Splat Bomb <:splat:451732998589644800> | Baller <:baller:451733454154104842> | 19 | 12100 | 50, 125 | 9 | 180 | 9 | 70 | 30
Luna Blaster Neo | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/7/7e/S2_Weapon_Main_Luna_Blaster_Neo.png/32px-S2_Weapon_Main_Luna_Blaster_Neo.png | Blaster | Ink Mine <:mine:451732593054973952> | Suction Bomb Launcher <:suctionlauncher:451734826639425536> | 24 | 13600 | 50, 125 | 9 | 170 | 9 | 70 | 30
Blaster | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/cc/S2_Weapon_Main_Blaster.png/64px-S2_Weapon_Main_Blaster.png | Blaster | Toxic Mist <:mist:451733194149199873> | Splashdown <:splashdown:451734463332876289> | 5 | 3000 | 50, 125 | 10 | 190 | 17 | 70 | 20
Custom Blaster | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/0/0c/S2_Weapon_Main_Custom_Blaster.png/32px-S2_Weapon_Main_Custom_Blaster.png | Blaster | Autobomb <:auto:451732432740286464> | Inkjet <:inkjet:451733714712657921> | 17 | 15300 | 50, 125 | 10 | 180 | 27 | 70 | 20
Hero Blaster Replica | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/f6/S2_Weapon_Main_Hero_Blaster_Replica.png/32px-S2_Weapon_Main_Hero_Blaster_Replica.png | Blaster | Toxic Mist <:mist:451733194149199873> | Splashdown <:splashdown:451734463332876289> | 5 | 3000 | 50, 125 | 10 | 190 | 17 | 70 | 20
Range Blaster | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/3/3d/S2_Weapon_Main_Range_Blaster.png/64px-S2_Weapon_Main_Range_Blaster.png | Blaster | Suction Bomb <:suction:451733156656316416> | Ink Storm <:storm:451734059991826452> | 14 | 9300 | 50 | 125 | 11 | 200 | 56 | 70 | 10
Custom Range Blaster | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/b/b7/S_Weapon_Main_Custom_Range_Blaster.png/32px-S_Weapon_Main_Custom_Range_Blaster.png | Blaster | Curling Bomb <:curling:451732483688497152> | Bubble Blower <:bubble:451733595829174273> | 18 | 11400 | 50, 125 | 11 | 180 | 56 | 70 | 10
Clash Blaster | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/21/S2_Weapon_Main_Clash_Blaster.png/64px-S2_Weapon_Main_Clash_Blaster.png | Blaster | Splat Bomb <:splat:451732998589644800> | Sting Ray <:stingray:451734582258171904> | 30 | 18200 | 30, 60 | 4 | 170 | 21 | 25 | 65
Clash Blaster Neo | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/fa/S2_Weapon_Main_Clash_Blaster_Neo.png/32px-S2_Weapon_Main_Clash_Blaster_Neo.png | Blaster | Curling Bomb <:curling:451732483688497152> | Tenta Missiles <:missiles:451734631775993876> | 30 | 20500 | 30, 60 | 4 | 170 | 21 | 25 | 65
Rapid Blaster | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/1d/S2_Weapon_Main_Rapid_Blaster.png/64px-S2_Weapon_Main_Rapid_Blaster.png | Blaster | Ink Mine <:mine:451732593054973952> | Splat Bomb Launcher <:splatlauncher:451733512232632320> | 13 | 9800 | 35, 85 | 7 | 210 | 62 | 35 | 40
Rapid Blaster Deco | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/29/S2_Weapon_Main_Rapid_Blaster_Deco.png/32px-S2_Weapon_Main_Rapid_Blaster_Deco.png | Blaster | Suction Bomb <:suction:451733156656316416> | Inkjet <:inkjet:451733714712657921> | 16 | 11500 | 35, 85 | 7 | 180 | 62 | 35 | 40
Rapid Blaster Pro | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/e6/S2_Weapon_Main_Rapid_Blaster_Pro.png/64px-S2_Weapon_Main_Rapid_Blaster_Pro.png | Blaster | Toxic Mist <:mist:451733194149199873> | Ink Storm <:storm:451734059991826452> | 22 | 12800 | 35, 85 | 8 | 180 | 72 | 35 | 30
Rapid Blaster Pro Deco | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/2e/S_Weapon_Main_Rapid_Blaster_Pro_Deco.png/32px-S_Weapon_Main_Rapid_Blaster_Pro_Deco.png | Blaster | Splash Wall <:wall:451732942847213568> | Ink Armour <:armour:451733645187743775> | 24 | 14000 | 35, 85 | 8 | 180 | 72 | 35 | 30
L-3 Nozzlenose | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/84/S2_Weapon_Main_L-3_Nozzlenose.png/64px-S2_Weapon_Main_L-3_Nozzlenose.png | Shooter | Curling Bomb <:curling:451732483688497152> | Baller <:baller:451733454154104842> | 18 | 10400 | 29 | Per glob: 1%, three globs per ZR so 3 | 180 | 62 | 25 | 65
L-3 Nozzlenose D | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/0/0b/S2_Weapon_Main_L-3_Nozzlenose_D.png/32px-S2_Weapon_Main_L-3_Nozzlenose_D.png | Shooter | Burst Bomb <:burst:451732329153691648> | Inkjet <:inkjet:451733714712657921> | 23 | 12500 | 29 | Per glob: 1%, three globs per ZR so 3 | 180 | 62 | 25 | 65
H-3 Nozzlenose | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c5/S2_Weapon_Main_H-3_Nozzlenose.png/64px-S2_Weapon_Main_H-3_Nozzlenose.png | Shooter | Point Sensor <:pointsensor:451732891727036416> | Tenta Missiles <:missiles:451734631775993876> | 29 | 17200 | 41 | Per glob: 1.8%, three globs per ZR so 5.4 | 180 | 70 | 58 | 30
H-3 Nozzlenose D | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/0/01/S2_Weapon_Main_H-3_Nozzlenose_D.png/32px-S2_Weapon_Main_H-3_Nozzlenose_D.png | Shooter | Suction Bomb <:suction:451733156656316416> | Ink Armour <:armour:451733645187743775> | 30 | 18400 | 41 | Per glob: 1.8%, three globs per ZR so 5.4 | 190 | 70 | 58 | 30
Squeezer | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/f6/S2_Weapon_Main_Squeezer.png/64px-S2_Weapon_Main_Squeezer.png | Shooter | Splash Wall <:wall:451732942847213568> | Sting Ray <:stingray:451734582258171904> | 16 | 9400 | Press: 38, Hold: 30 | Press: 2.5%, Hold: 0.9 | 180 | 77 | 52 | 29
Foil Squeezer | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/e7/S2_Weapon_Main_Foil_Squeezer.png/32px-S2_Weapon_Main_Foil_Squeezer.png | Shooter | Splat Bomb <:splat:451732998589644800> | Bubble Blower <:bubble:451733595829174273> | 25 | 10900 | Press: 38, Hold: 30 | Press: 2.5%, Hold: 0.9 | 180 | 77 | 52 | 29
Carbon Roller | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/8a/S2_Weapon_Main_Carbon_Roller.png/64px-S2_Weapon_Main_Carbon_Roller.png | Roller | Autobomb <:auto:451732432740286464> | Ink Storm <:storm:451734059991826452> | 7 | 6200 | 25-100, 42.5-120, 70 | 4.5 | 160 | 20 | 63 | 65
Carbon Roller Deco | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/4/49/S2_Weapon_Main_Carbon_Roller_Deco.png/32px-S2_Weapon_Main_Carbon_Roller_Deco.png | Roller | Burst Bomb <:burst:451732329153691648> | Autobomb Launcher <:autolauncher:451734905009995807> | 10 | 8500 | 25-100, 42.5-120, 70 | 4.5 | 190 | 20 | 63 | 65
Splat Roller | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/26/S2_Weapon_Main_Splat_Roller.png/64px-S2_Weapon_Main_Splat_Roller.png | Roller | Curling Bomb <:curling:451732483688497152> | Splashdown <:splashdown:451734463332876289> | 3 | 1800 | 35-150, 40-150, 125 | 9 | 180 | 48 | 45 | 55
Krak-On Splat Roller | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/62/S2_Weapon_Main_Krak-On_Splat_Roller.png/32px-S2_Weapon_Main_Krak-On_Splat_Roller.png | Roller | Squid Beakon <:beakon:451733111433068557> | Baller <:baller:451733454154104842> | 12 | 9200 | 35-150, 40-150, 125 | 9 | 180 | 48 | 45 | 55
Hero Roller Replica | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/1b/S2_Weapon_Main_Hero_Roller_Replica.png/32px-S2_Weapon_Main_Hero_Roller_Replica.png | Roller | Curling Bomb <:curling:451732483688497152> | Splashdown <:splashdown:451734463332876289> | 3 | 1800 | 35-150, 40-150, 125 | 9 | 180 | 48 | 45 | 55
Dynamo Roller | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/24/S2_Weapon_Main_Dynamo_Roller.png/64px-S2_Weapon_Main_Dynamo_Roller.png | Roller | Ink Mine <:mine:451732593054973952> | Sting Ray <:stingray:451734582258171904> | 20 | 24500 | 35-150, 40-150, 125 | 18 | 180 | 76 | 25 | 20
Gold Dynamo Roller | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/26/S2_Weapon_Main_Gold_Dynamo_Roller.png/32px-S2_Weapon_Main_Gold_Dynamo_Roller.png | Roller | Splat Bomb <:splat:451732998589644800> | Ink Armour <:armour:451733645187743775> | 25 | 29000 | 35-150, 40-150, 125 | 18 | 190 | 76 | 25 | 20
Flingza Roller | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/6c/S2_Weapon_Main_Flingza_Roller.png/64px-S2_Weapon_Main_Flingza_Roller.png | Roller | Splash Wall <:wall:451732942847213568> | Splat Bomb Launcher <:splatlauncher:451733512232632320> | 24 | 15700 | 35-150, 40-150, 125 | Horizontal swing: 8%, Vertical swing: 12 | 190 | 58 | 45 | 45
Foil Flingza Roller | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/ff/S2_Weapon_Main_Foil_Flingza_Roller.png/32px-S2_Weapon_Main_Foil_Flingza_Roller.png | Roller | Suction Bomb <:suction:451733156656316416> | Tenta Missiles <:missiles:451734631775993876> | 28 | 21300 | 35-150, 40-150, 125 | Horizontal swing: 8%, Vertical swing: 12 | 190 | 58 | 45 | 45
Inkbrush | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/cb/S2_Weapon_Main_Inkbrush.png/64px-S2_Weapon_Main_Inkbrush.png | Roller | Splat Bomb <:splat:451732998589644800> | Splashdown <:splashdown:451734463332876289> | 5 | 2600 | 30, [no vertical attack], 20 | 2 | 160 | 5 | 100 | 100
Inkbrush Nouveau | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/ef/S2_Weapon_Main_Inkbrush_Nouveau.png/32px-S2_Weapon_Main_Inkbrush_Nouveau.png | Roller | Ink Mine <:mine:451732593054973952> | Baller <:baller:451733454154104842> | 7 | 7000 | 30, [no vertical attack], 20 | 2 | 160 | 5 | 100 | 100
Octobrush | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c3/S2_Weapon_Main_Octobrush.png/64px-S2_Weapon_Main_Octobrush.png | Roller | Autobomb <:auto:451732432740286464> | Inkjet <:inkjet:451733714712657921> | 10 | 8200 | 40, [no vertical attack], 25 | 3.2 | 180 | 23 | 80 | 85
Octobrush Nouveau | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/2a/S2_Weapon_Main_Octobrush_Nouveau.png/32px-S2_Weapon_Main_Octobrush_Nouveau.png | Roller | Squid Beakon <:beakon:451733111433068557> | Tenta Missiles <:missiles:451734631775993876> | 15 | 9900 | 40, [no vertical attack], 25 | 3.2 | 170 | 23 | 80 | 85
Herobrush Replica | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/4/4c/S2_Weapon_Main_Herobrush_Replica.png/32px-S2_Weapon_Main_Herobrush_Replica.png | Roller | Autobomb <:auto:451732432740286464> | Inkjet <:inkjet:451733714712657921> | 10 | 8200 | 40, [no vertical attack], 25 | 3.2 | 180 | 23 | 80 | 85
Classic Squiffer | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/6f/S2_Weapon_Main_Classic_Squiffer.png/64px-S2_Weapon_Main_Classic_Squiffer.png | Charger | Point Sensor <:pointsensor:451732891727036416> | Ink Armour <:armour:451733645187743775> | 12 | 8900 | 40-69.1, 140 | 1.9%, 10.5 | 180 | 75 | 70 | 60
New Squiffer | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/21/S2_Weapon_Main_New_Squiffer.png/32px-S2_Weapon_Main_New_Squiffer.png | Charger | Autobomb <:auto:451732432740286464> | Baller <:baller:451733454154104842> | 17 | 11000 | 40-69.1, 140 | 1.9%, 10.5 | 180 | 75 | 70 | 60
Splat Charger | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/eb/S2_Weapon_Main_Splat_Charger.png/64px-S2_Weapon_Main_Splat_Charger.png | Charger | Splat Bomb <:splat:451732998589644800> | Sting Ray <:stingray:451734582258171904> | 3 | 2200 | 40-79.2, 160 | 2.25%, 18 | 190 | 88 | 50 | 40
Firefin Splat Charger | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/b/bb/S2_Weapon_Main_Firefin_Splat_Charger.png/32px-S2_Weapon_Main_Firefin_Splat_Charger.png | Charger | Splash Wall <:wall:451732942847213568> | Suction Bomb Launcher <:suctionlauncher:451734826639425536> | 16 | 10600 | 40-79.2, 160 | 2.25%, 18 | 190 | 88 | 50 | 40
Hero Charger Replica | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/7/72/S2_Weapon_Main_Hero_Charger_Replica.png/32px-S2_Weapon_Main_Hero_Charger_Replica.png | Charger | Splat Bomb <:splat:451732998589644800> | Sting Ray <:stingray:451734582258171904> | 3 | 2200 | 40-79.2, 160 | 2.25%, 18 | 190 | 88 | 50 | 40
Splatterscope | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/ad/S2_Weapon_Main_Splatterscope.png/64px-S2_Weapon_Main_Splatterscope.png | Charger | Splat Bomb <:splat:451732998589644800> | Sting Ray <:stingray:451734582258171904> | 15 | 11400 | 40-79.2, 160 | 2.25%, 18 | 190 | 91 | 50 | 30
Firefin Splatterscope | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/d/d6/S2_Weapon_Main_Firefin_Splatterscope.png/32px-S2_Weapon_Main_Firefin_Splatterscope.png | Charger | Splash Wall <:wall:451732942847213568> | Suction Bomb Launcher <:suctionlauncher:451734826639425536> | 25 | 13900 | 40-79.2, 160 | 2.25%, 18 | 190 | 91 | 50 | 30
E-litre 4K | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/d/db/S2_Weapon_Main_E-liter_4K.png/64px-S2_Weapon_Main_E-liter_4K.png | Charger | Ink Mine <:mine:451732593054973952> | Ink Storm <:storm:451734059991826452> | 20 | 13900 | 40-79.5, 180 | 2.25%, 25 | 170 | 96 | 20 | 15
Custom E-litre 4K | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/af/S2_Weapon_Main_Custom_E-liter_4K.png/32px-S2_Weapon_Main_Custom_E-liter_4K.png | Charger | Squid Beakon <:beakon:451733111433068557> | Bubble Blower <:bubble:451733595829174273> | 26 | 14700 | 40-79.5, 180 | 2.25%, 25 | 170 | 96 | 20 | 15
E-litre 4K Scope | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/0/01/S2_Weapon_Main_E-liter_4K_Scope.png/64px-S2_Weapon_Main_E-liter_4K_Scope.png | Charger | Ink Mine <:mine:451732593054973952> | Ink Storm <:storm:451734059991826452> | 30 | 23200 | 40-79.5, 180 | 2.25%, 25 | 170 | 100 | 20 | 5
Custom E-litre 4K Scope | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/14/S2_Weapon_Main_Custom_E-liter_4K_Scope.png/32px-S2_Weapon_Main_Custom_E-liter_4K_Scope.png | Charger | Squid Beakon <:beakon:451733111433068557> | Bubble Blower <:bubble:451733595829174273> | 30 | 29900 | 40-79.5, 180 | 2.25%, 25 | 170 | 100 | 20 | 5
Bamboozler 14 Mk I | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/50/S2_Weapon_Main_Bamboozler_14_Mk_I.png/64px-S2_Weapon_Main_Bamboozler_14_Mk_I.png | Charger | Curling Bomb <:curling:451732483688497152> | Tenta Missiles <:missiles:451734631775993876> | 18 | 9500 | 30-80.4, 85 | 2.8%, 7 | 180 | 78 | 90 | 80
Goo Tuber | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/0/06/S2_Weapon_Main_Goo_Tuber.png/64px-S2_Weapon_Main_Goo_Tuber.png | Charger | Suction Bomb <:suction:451733156656316416> | Splashdown <:splashdown:451734463332876289> | 22 | 13400 | 40-128.6, 180 | 2%, 15 | 160 | 78 | 38 | 70
Custom Goo Tuber | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/0/0a/S2_Weapon_Main_Custom_Goo_Tuber.png/32px-S2_Weapon_Main_Custom_Goo_Tuber.png | Charger | Curling Bomb <:curling:451732483688497152> | Inkjet <:inkjet:451733714712657921> | 28 | 19300 | 40-128.6, 180 | 2%, 15 | 170 | 78 | 38 | 70
Slosher | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/aa/S2_Weapon_Main_Slosher.png/64px-S2_Weapon_Main_Slosher.png | Slosher | Suction Bomb <:suction:451733156656316416> | Tenta Missiles <:missiles:451734631775993876> | 5 | 2500 | 70 | 7 | 180 | 58 | 85 | 50
Slosher Deco | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/3/31/S2_Weapon_Main_Slosher_Deco.png/32px-S2_Weapon_Main_Slosher_Deco.png | Slosher | Sprinkler <:sprinkler:451733051030896661> | Baller <:baller:451733454154104842> | 8 | 8000 | 70 | 7 | 220 | 58 | 85 | 50
Hero Slosher Replica | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/4/42/S2_Weapon_Main_Hero_Slosher_Replica.png/32px-S2_Weapon_Main_Hero_Slosher_Replica.png | Slosher | Suction Bomb <:suction:451733156656316416> | Tenta Missiles <:missiles:451734631775993876> | 5 | 2500 | 70 | 7 | 180 | 58 | 85 | 50
Tri-Slosher | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/3/32/S2_Weapon_Main_Tri-Slosher.png/64px-S2_Weapon_Main_Tri-Slosher.png | Slosher | Burst Bomb <:burst:451732329153691648> | Ink Armour <:armour:451733645187743775> | 15 | 10200 | 62 | 6 | 190 | 30 | 75 | 70
Tri-Slosher Nouveau | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/ed/S2_Weapon_Main_Tri-Slosher_Nouveau.png/32px-S2_Weapon_Main_Tri-Slosher_Nouveau.png | Slosher | Splat Bomb <:splat:451732998589644800> | Ink Storm <:storm:451734059991826452> | 17 | 11700 | 62 | 6 | 180 | 30 | 75 | 70
Sloshing Machine | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/ec/S2_Weapon_Main_Sloshing_Machine.png/64px-S2_Weapon_Main_Sloshing_Machine.png | Slosher | Autobomb <:auto:451732432740286464> | Sting Ray <:stingray:451734582258171904> | 13 | 12600 | Minimum splash: 38, Direct hit: 76 | 7 | 190 | 60 | 90 | 40
Sloshing Machine Neo | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/7/7d/S2_Weapon_Main_Sloshing_Machine_Neo.png/32px-S2_Weapon_Main_Sloshing_Machine_Neo.png | Slosher | Point Sensor <:pointsensor:451732891727036416> | Splat Bomb Launcher <:splatlauncher:451733512232632320> | 19 | 19800 | Minimum splash: 38, Direct hit: 76 | 7 | 180 | 60 | 90 | 40
Mini Splatling | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/7/76/S2_Weapon_Main_Mini_Splatling.png/64px-S2_Weapon_Main_Mini_Splatling.png | Splatling | Burst Bomb <:burst:451732329153691648> | Tenta Missiles <:missiles:451734631775993876> | 23 | 12300 | 32 | 15 | 180 | 62 | 80 | 90
